PID	Status	Label
-	0	com.apple.cvmsCompAgent3600_x86_64_1
-	0	com.apple.netauth.user.auth
845	0	com.apple.ViewBridgeAuxiliary
-	0	com.apple.mbbackgrounduseragent
-	0	com.apple.cvmsCompAgent_x86_64
699	0	com.apple.lsd
-	-9	com.apple.siri.context.service
98497	0	com.apple.fskit.fskit_agent
77809	-9	com.apple.pluginkit.pkd
-	0	com.apple.CharacterPicker.RemoteGenerationViewService
-	0	com.apple.security.XPCTimeStampingService
-	0	ch.protonmail.drive.launcher.ProtonDriveMacLauncher
-	-9	com.apple.webkit.webpushd
-	-9	com.apple.weatherd
4430	0	com.apple.FolderActionsDispatcher
-	0	app.spokenly.autolaunch
-	0	com.1password.1password-launcher
6374	-9	com.apple.cache_delete
-	0	com.apple.symptomsd-diag.agent
849	0	com.apple.AMPDeviceDiscoveryAgent
-	0	com.apple.accessibility.dfrhud
75408	-9	com.apple.CallHistorySyncHelper
98062	-9	com.apple.colorsync.useragent
-	-9	com.apple.analyticsagent
4080	0	application.com.stclairsoft.Jettison.568297676.573761843
-	-9	com.apple.appleaccountd
35579	-9	com.apple.parsecd
-	-9	com.apple.mlruntimed
821	0	com.apple.Dock.agent
4554	0	application.ai.visualstack.autopause.413829572.413829579
-	0	com.apple.parsec-fbf
8221	-9	com.apple.dmd
39502	-9	com.apple.transparencyd
-	0	com.apple.usbnotificationagent
46374	-9	com.apple.AppSSOAgent
23573	0	com.apple.mbuseragent
39558	-9	com.apple.security.cloudkeychainproxy3
688	0	com.apple.UserEventAgent-Aqua
4357	0	application.com.microsoft.OneDrive-mac.571551463.571554552.5A6119CC-65EB-46FF-945E-C51E7C055E50
815	0	application.com.zeroonetwenty.ProFind.474417369.474417375
3941	0	EKT6323JY3.com.guidedways.TodoMac-setapp.Helper
6521	-9	com.apple.followupd
744	0	com.apple.identityservicesd
23544	-9	com.apple.telephonyutilities.callservicesd
-	0	com.apple.DwellControl
10848	0	com.google.antigravity.ShipIt
1106	0	N4RA379GBW.com.busymac.busycal-setapp.alarm
-	-9	com.apple.generativeexperiencesd
752	0	application.com.apple.MobileSMS.1152921500311888132.1152921500311888202
35669	0	com.apple.XProtect.agent.scan
26660	-9	com.apple.storekitagent
-	0	com.isaacwong.lumen.ShipIt
1216	0	com.apple.security.DiskUnmountWatcher
89704	-9	com.apple.CoreLocationAgent
-	0	com.apple.StorageManagement.Service
